"Viewer Version";"2.91"
"COM HW Type";"RS485/USB Sensor Cable"
"COM HW Config";"Config String: COM4 , 115200, ECHOOFF"
"Sensor Cable Version";"1.8"
"Product Type";"Liquid Flow Sensor (SF06 Chip)"
"Product COM Protocol Config";"SHDLC Device Address: 0"
"Product ID";"SLF3S-1300F"
"Sensor Serial";"1949-000064"
"I2C Address";"8"
"Supply Voltage";"3.5 V"
"Command Address";"0x3608"
"Sampling Time [ms]";"5"
"Scale Factor Flow lin.";"500"
"Scale Factor Temp lin.";"200"
"Scale Factor Custom";"1"
"Sample #";"Relative Time[s]";"Flow linearized [ml/min]";"Temperature linearized [deg C]";"Custom []"
"1387";"6,9103";"-0,002";"32,560";"1,000"
"1388";"6,9135";"-0,002";"32,560";"1,000"
"1389";"6,9167";"-0,002";"32,655";"1,000"
"1390";"6,9199";"-0,002";"32,655";"1,000"
"1391";"6,9231";"0,000";"32,655";"1,000"
"1392";"6,9391";"-0,002";"32,620";"1,000"
"1393";"6,9445";"-0,002";"32,620";"1,000"
"1394";"6,9498";"-0,002";"32,590";"1,000"
"1395";"6,9552";"-0,002";"32,590";"1,000"
"1396";"6,9592";"-0,002";"32,645";"1,000"
"1397";"6,9632";"-0,002";"32,645";"1,000"
"1398";"6,9672";"-0,002";"32,670";"1,000"
"1399";"6,9712";"-0,002";"32,670";"1,000"
"1400";"6,9765";"-0,002";"32,600";"1,000"
"1401";"6,9818";"-0,002";"32,600";"1,000"
"1402";"6,9872";"0,000";"32,600";"1,000"
"1403";"6,9925";"-0,002";"32,670";"1,000"
"1404";"6,9979";"-0,002";"32,670";"1,000"
"1405";"7,0032";"-0,002";"32,600";"1,000"
"1406";"7,0085";"0,000";"32,600";"1,000"
"1407";"7,0138";"-0,002";"32,615";"1,000"
"1408";"7,0191";"-0,002";"32,615";"1,000"
"1409";"7,0231";"-0,002";"32,595";"1,000"
"1410";"7,0271";"-0,002";"32,595";"1,000"
"1411";"7,0311";"-0,002";"32,595";"1,000"
"1412";"7,0351";"-0,002";"32,575";"1,000"
"1413";"7,0391";"-0,002";"32,575";"1,000"
"1414";"7,0431";"-0,002";"32,695";"1,000"
"1415";"7,0471";"0,000";"32,695";"1,000"
"1416";"7,0511";"0,000";"32,650";"1,000"
"1417";"7,0591";"0,000";"32,650";"1,000"
"1418";"7,0672";"-0,002";"32,570";"1,000"
"1419";"7,0725";"-0,002";"32,570";"1,000"
"1420";"7,0778";"-0,002";"32,570";"1,000"
"1421";"7,0831";"0,000";"32,610";"1,000"
"1422";"7,0885";"-0,002";"32,610";"1,000"
"1423";"7,0938";"0,000";"32,700";"1,000"
"1424";"7,0992";"-0,002";"32,700";"1,000"
"1425";"7,1024";"-0,002";"32,650";"1,000"
"1426";"7,1055";"-0,002";"32,650";"1,000"
"1427";"7,1087";"0,000";"32,670";"1,000"
"1428";"7,1119";"0,000";"32,670";"1,000"
"1429";"7,1151";"-0,002";"32,555";"1,000"
"1430";"7,1231";"-0,002";"32,555";"1,000"
"1431";"7,1311";"-0,002";"32,555";"1,000"
"1432";"7,1364";"0,000";"32,660";"1,000"
"1433";"7,1418";"0,000";"32,660";"1,000"
"1434";"7,1471";"-0,002";"32,590";"1,000"
"1435";"7,1524";"0,000";"32,590";"1,000"
"1436";"7,1578";"-0,002";"32,685";"1,000"
"1437";"7,1631";"-0,002";"32,685";"1,000"
"1438";"7,1671";"0,000";"32,635";"1,000"
"1439";"7,1711";"-0,002";"32,635";"1,000"
"1440";"7,1751";"0,000";"32,635";"1,000"
"1441";"7,1791";"-0,002";"32,635";"1,000"
"1442";"7,1844";"-0,002";"32,635";"1,000"
"1443";"7,1897";"-0,002";"32,730";"1,000"
"1444";"7,1950";"-0,002";"32,730";"1,000"
"1445";"7,2004";"0,000";"32,760";"1,000"
"1446";"7,2057";"-0,002";"32,760";"1,000"
"1447";"7,2110";"-0,002";"32,610";"1,000"
"1448";"7,2164";"-0,002";"32,610";"1,000"
"1449";"7,2217";"-0,002";"32,700";"1,000"
"1450";"7,2271";"0,000";"32,700";"1,000"
"1451";"7,2310";"0,000";"32,700";"1,000"
"1452";"7,2350";"-0,002";"32,635";"1,000"
"1453";"7,2390";"-0,002";"32,635";"1,000"
"1454";"7,2429";"0,000";"32,660";"1,000"
"1455";"7,2483";"-0,002";"32,660";"1,000"
"1456";"7,2537";"0,000";"32,675";"1,000"
"1457";"7,2590";"-0,002";"32,675";"1,000"
"1458";"7,2643";"0,000";"32,715";"1,000"
"1459";"7,2696";"0,000";"32,715";"1,000"
"1460";"7,2750";"0,000";"32,715";"1,000"
"1461";"7,2803";"-0,002";"32,650";"1,000"
"1462";"7,2857";"-0,002";"32,650";"1,000"
"1463";"7,2911";"0,000";"32,645";"1,000"
"1464";"7,2950";"-0,002";"32,645";"1,000"
"1465";"7,2990";"0,000";"32,665";"1,000"
"1466";"7,3030";"-0,002";"32,665";"1,000"
"1467";"7,3070";"-0,002";"32,610";"1,000"
"1468";"7,3150";"0,000";"32,610";"1,000"
"1469";"7,3230";"0,000";"32,640";"1,000"
"1470";"7,3270";"-0,002";"32,640";"1,000"
"1471";"7,3310";"-0,002";"32,640";"1,000"
"1472";"7,3350";"-0,002";"32,695";"1,000"
"1473";"7,3390";"0,000";"32,695";"1,000"
"1474";"7,3443";"-0,002";"32,615";"1,000"
"1475";"7,3496";"-0,002";"32,615";"1,000"
"1476";"7,3549";"-0,002";"32,580";"1,000"
"1477";"7,3589";"-0,002";"32,580";"1,000"
"1478";"7,3629";"-0,002";"32,650";"1,000"
"1479";"7,3669";"-0,002";"32,650";"1,000"
"1480";"7,3709";"-0,002";"32,650";"1,000"
"1481";"7,3789";"-0,002";"32,635";"1,000"
"1482";"7,3869";"-0,002";"32,635";"1,000"
"1483";"7,3909";"-0,002";"32,680";"1,000"
"1484";"7,3949";"-0,002";"32,680";"1,000"
"1485";"7,3989";"-0,002";"32,655";"1,000"
"1486";"7,4029";"-0,002";"32,655";"1,000"
"1487";"7,4082";"0,000";"32,710";"1,000"
"1488";"7,4135";"-0,002";"32,710";"1,000"
"1489";"7,4188";"-0,002";"32,710";"1,000"
"1490";"7,4242";"0,000";"32,615";"1,000"
"1491";"7,4295";"0,000";"32,615";"1,000"
"1492";"7,4348";"-0,002";"32,600";"1,000"
"1493";"7,4402";"0,000";"32,600";"1,000"
"1494";"7,4456";"0,000";"32,640";"1,000"
"1495";"7,4509";"-0,002";"32,640";"1,000"
"1496";"7,4562";"0,000";"32,745";"1,000"
"1497";"7,4616";"-0,002";"32,745";"1,000"
"1498";"7,4669";"0,000";"32,705";"1,000"
"1499";"7,4709";"-0,002";"32,705";"1,000"
"1500";"7,4749";"-0,002";"32,705";"1,000"
"1501";"7,4789";"0,000";"32,660";"1,000"
"1502";"7,4828";"-0,002";"32,660";"1,000"
"1503";"7,4881";"-0,002";"32,660";"1,000"
"1504";"7,4934";"-0,002";"32,660";"1,000"
"1505";"7,4987";"-0,002";"32,680";"1,000"
"1506";"7,5041";"0,000";"32,680";"1,000"
"1507";"7,5094";"-0,002";"32,650";"1,000"
"1508";"7,5148";"-0,002";"32,650";"1,000"
"1509";"7,5201";"0,000";"32,650";"1,000"
"1510";"7,5254";"0,000";"32,680";"1,000"
"1511";"7,5307";"0,000";"32,680";"1,000"
"1512";"7,5360";"-0,002";"32,670";"1,000"
"1513";"7,5414";"-0,002";"32,670";"1,000"
"1514";"7,5467";"-0,002";"32,740";"1,000"
"1515";"7,5507";"-0,002";"32,740";"1,000"
"1516";"7,5547";"-0,002";"32,655";"1,000"
"1517";"7,5587";"-0,002";"32,655";"1,000"
"1518";"7,5627";"0,000";"32,680";"1,000"
"1519";"7,5680";"-0,002";"32,680";"1,000"
"1520";"7,5733";"0,000";"32,680";"1,000"
"1521";"7,5787";"-0,002";"32,725";"1,000"
"1522";"7,5840";"0,000";"32,725";"1,000"
"1523";"7,5893";"0,000";"32,720";"1,000"
"1524";"7,5947";"0,000";"32,720";"1,000"
"1525";"7,6000";"0,000";"32,675";"1,000"
"1526";"7,6053";"-0,002";"32,675";"1,000"
"1527";"7,6107";"-0,002";"32,630";"1,000"
"1528";"7,6147";"-0,002";"32,630";"1,000"
"1529";"7,6187";"0,000";"32,630";"1,000"
"1530";"7,6227";"-0,002";"32,725";"1,000"
"1531";"7,6267";"-0,002";"32,725";"1,000"
"1532";"7,6320";"-0,002";"32,665";"1,000"
"1533";"7,6374";"0,000";"32,665";"1,000"
"1534";"7,6427";"0,000";"32,730";"1,000"
"1535";"7,6480";"-0,002";"32,730";"1,000"
"1536";"7,6534";"-0,002";"32,585";"1,000"
"1537";"7,6587";"-0,002";"32,585";"1,000"
"1538";"7,6641";"0,000";"32,715";"1,000"
"1539";"7,6694";"-0,002";"32,715";"1,000"
"1540";"7,6748";"0,000";"32,715";"1,000"
"1541";"7,6780";"0,000";"32,740";"1,000"
"1542";"7,6812";"0,000";"32,740";"1,000"
"1543";"7,6844";"-0,002";"32,725";"1,000"
"1544";"7,6876";"-0,002";"32,725";"1,000"
"1545";"7,6908";"0,000";"32,660";"1,000"
"1546";"7,6986";"-0,002";"32,660";"1,000"
"1547";"7,7065";"-0,002";"32,740";"1,000"
"1548";"7,7119";"0,000";"32,740";"1,000"
"1549";"7,7173";"-0,002";"32,740";"1,000"
"1550";"7,7227";"-0,002";"32,660";"1,000"
"1551";"7,7280";"-0,002";"32,660";"1,000"
"1552";"7,7333";"0,000";"32,695";"1,000"
"1553";"7,7387";"0,000";"32,695";"1,000"
"1554";"7,7427";"-0,002";"32,665";"1,000"
"1555";"7,7466";"-0,002";"32,665";"1,000"
"1556";"7,7506";"-0,002";"32,675";"1,000"
"1557";"7,7546";"0,000";"32,675";"1,000"
"1558";"7,7627";"-0,002";"32,675";"1,000"
"1559";"7,7707";"-0,002";"32,680";"1,000"
"1560";"7,7747";"0,000";"32,680";"1,000"
"1561";"7,7787";"-0,002";"32,745";"1,000"
"1562";"7,7827";"-0,002";"32,745";"1,000"
"1563";"7,7867";"-0,002";"32,710";"1,000"
"1564";"7,7919";"-0,002";"32,710";"1,000"
"1565";"7,7972";"-0,002";"32,725";"1,000"
"1566";"7,8025";"-0,002";"32,725";"1,000"
"1567";"7,8065";"-0,002";"32,645";"1,000"
"1568";"7,8105";"0,000";"32,645";"1,000"
"1569";"7,8145";"0,000";"32,645";"1,000"
"1570";"7,8185";"0,000";"32,665";"1,000"
"1571";"7,8265";"0,000";"32,665";"1,000"
"1572";"7,8346";"-0,002";"32,670";"1,000"
"1573";"7,8386";"-0,002";"32,670";"1,000"
"1574";"7,8426";"0,000";"32,710";"1,000"
"1575";"7,8467";"-0,002";"32,710";"1,000"
"1576";"7,8507";"-0,002";"32,730";"1,000"
"1577";"7,8560";"-0,002";"32,730";"1,000"
"1578";"7,8613";"0,000";"32,730";"1,000"
"1579";"7,8666";"-0,002";"32,635";"1,000"
"1580";"7,8706";"0,000";"32,635";"1,000"
"1581";"7,8746";"-0,002";"32,645";"1,000"
"1582";"7,8786";"0,000";"32,645";"1,000"
"1583";"7,8826";"-0,002";"32,740";"1,000"
"1584";"7,8906";"-0,002";"32,740";"1,000"
"1585";"7,8986";"0,000";"32,730";"1,000"
"1586";"7,9038";"-0,002";"32,730";"1,000"
"1587";"7,9091";"-0,002";"32,695";"1,000"
"1588";"7,9143";"-0,002";"32,695";"1,000"
"1589";"7,9184";"-0,002";"32,695";"1,000"
"1590";"7,9224";"-0,002";"32,730";"1,000"
"1591";"7,9265";"-0,002";"32,730";"1,000"
"1592";"7,9305";"-0,002";"32,735";"1,000"
"1593";"7,9359";"0,000";"32,735";"1,000"
"1594";"7,9412";"-0,002";"32,650";"1,000"
"1595";"7,9465";"-0,002";"32,650";"1,000"
"1596";"7,9518";"-0,002";"32,770";"1,000"
"1597";"7,9571";"-0,002";"32,770";"1,000"
"1598";"7,9623";"-0,002";"32,770";"1,000"
"1599";"7,9677";"-0,002";"32,645";"1,000"
"1600";"7,9731";"-0,002";"32,645";"1,000"
"1601";"7,9784";"-0,002";"32,720";"1,000"
"1602";"7,9838";"0,000";"32,720";"1,000"
"1603";"7,9891";"0,000";"32,635";"1,000"
"1604";"7,9945";"0,000";"32,635";"1,000"
"1605";"7,9984";"0,000";"32,750";"1,000"
"1606";"8,0024";"0,000";"32,750";"1,000"
"1607";"8,0064";"0,000";"32,710";"1,000"
"1608";"8,0104";"-0,002";"32,710";"1,000"
"1609";"8,0157";"-0,002";"32,710";"1,000"
"1610";"8,0210";"-0,002";"32,690";"1,000"
"1611";"8,0263";"-0,002";"32,690";"1,000"
"1612";"8,0316";"-0,002";"32,725";"1,000"
"1613";"8,0370";"-0,002";"32,725";"1,000"
"1614";"8,0423";"-0,002";"32,705";"1,000"
"1615";"8,0477";"-0,002";"32,705";"1,000"
"1616";"8,0530";"0,000";"32,725";"1,000"
"1617";"8,0584";"-0,002";"32,725";"1,000"
"1618";"8,0624";"-0,002";"32,725";"1,000"
"1619";"8,0663";"-0,002";"32,710";"1,000"
"1620";"8,0703";"0,000";"32,710";"1,000"
"1621";"8,0743";"-0,002";"32,745";"1,000"
"1622";"8,0796";"-0,002";"32,745";"1,000"
"1623";"8,0850";"0,000";"32,700";"1,000"
"1624";"8,0903";"-0,002";"32,700";"1,000"
"1625";"8,0956";"-0,002";"32,680";"1,000"
"1626";"8,1010";"-0,002";"32,680";"1,000"
"1627";"8,1063";"-0,002";"32,680";"1,000"
"1628";"8,1116";"-0,002";"32,700";"1,000"
"1629";"8,1169";"0,000";"32,700";"1,000"
"1630";"8,1222";"-0,002";"32,740";"1,000"
"1631";"8,1262";"-0,002";"32,740";"1,000"
"1632";"8,1302";"0,000";"32,680";"1,000"
"1633";"8,1342";"-0,002";"32,680";"1,000"
"1634";"8,1382";"-0,002";"32,775";"1,000"
"1635";"8,1436";"-0,002";"32,775";"1,000"
"1636";"8,1489";"0,000";"32,760";"1,000"
"1637";"8,1542";"-0,002";"32,760";"1,000"
"1638";"8,1596";"-0,002";"32,760";"1,000"
"1639";"8,1649";"0,000";"32,710";"1,000"
"1640";"8,1703";"0,000";"32,710";"1,000"
"1641";"8,1756";"-0,002";"32,740";"1,000"
"1642";"8,1809";"0,000";"32,740";"1,000"
"1643";"8,1863";"-0,002";"32,735";"1,000"
"1644";"8,1903";"-0,002";"32,735";"1,000"
"1645";"8,1943";"-0,002";"32,720";"1,000"
"1646";"8,1982";"-0,002";"32,720";"1,000"
"1647";"8,2022";"-0,002";"32,720";"1,000"
"1648";"8,2102";"-0,002";"32,680";"1,000"
"1649";"8,2182";"0,000";"32,680";"1,000"
"1650";"8,2221";"-0,002";"32,720";"1,000"
"1651";"8,2261";"-0,002";"32,720";"1,000"
"1652";"8,2301";"-0,002";"32,720";"1,000"
"1653";"8,2341";"0,000";"32,720";"1,000"
"1654";"8,2395";"0,000";"32,695";"1,000"
"1655";"8,2448";"0,000";"32,695";"1,000"
"1656";"8,2502";"0,000";"32,720";"1,000"
"1657";"8,2542";"-0,002";"32,720";"1,000"
"1658";"8,2582";"-0,002";"32,720";"1,000"
"1659";"8,2622";"-0,002";"32,730";"1,000"
"1660";"8,2662";"0,000";"32,730";"1,000"
"1661";"8,2741";"0,000";"32,740";"1,000"
"1662";"8,2821";"-0,002";"32,740";"1,000"
"1663";"8,2874";"-0,002";"32,765";"1,000"
"1664";"8,2928";"0,000";"32,765";"1,000"
"1665";"8,2981";"-0,002";"32,790";"1,000"
"1666";"8,3021";"0,000";"32,790";"1,000"
"1667";"8,3061";"0,000";"32,790";"1,000"
"1668";"8,3100";"-0,002";"32,700";"1,000"
"1669";"8,3140";"-0,002";"32,700";"1,000"
"1670";"8,3180";"-0,002";"32,770";"1,000"
"1671";"8,3221";"-0,002";"32,770";"1,000"
"1672";"8,3261";"-0,002";"32,730";"1,000"
"1673";"8,3301";"0,000";"32,730";"1,000"
"1674";"8,3381";"-0,002";"32,695";"1,000"
"1675";"8,3461";"-0,002";"32,695";"1,000"
"1676";"8,3514";"0,000";"32,800";"1,000"
"1677";"8,3568";"-0,002";"32,800";"1,000"
"1678";"8,3621";"-0,002";"32,800";"1,000"
"1679";"8,3661";"0,000";"32,690";"1,000"
"1680";"8,3701";"-0,002";"32,690";"1,000"
"1681";"8,3741";"0,000";"32,750";"1,000"
"1682";"8,3781";"-0,002";"32,750";"1,000"
"1683";"8,3834";"-0,002";"32,680";"1,000"
"1684";"8,3888";"0,000";"32,680";"1,000"
"1685";"8,3941";"-0,002";"32,730";"1,000"
"1686";"8,3995";"-0,002";"32,730";"1,000"
"1687";"8,4048";"-0,002";"32,730";"1,000"
"1688";"8,4101";"-0,002";"32,715";"1,000"
"1689";"8,4154";"-0,002";"32,715";"1,000"
"1690";"8,4207";"-0,002";"32,730";"1,000"
"1691";"8,4260";"-0,002";"32,730";"1,000"
"1692";"8,4314";"-0,002";"32,750";"1,000"
"1693";"8,4367";"-0,002";"32,750";"1,000"
"1694";"8,4421";"-0,002";"32,820";"1,000"
"1695";"8,4461";"-0,002";"32,820";"1,000"
"1696";"8,4501";"-0,002";"32,820";"1,000"
"1697";"8,4541";"0,000";"32,770";"1,000"
"1698";"8,4581";"-0,002";"32,770";"1,000"
"1699";"8,4634";"-0,002";"32,725";"1,000"
"1700";"8,4687";"-0,002";"32,725";"1,000"
"1701";"8,4741";"-0,002";"32,705";"1,000"
"1702";"8,4794";"-0,002";"32,705";"1,000"
"1703";"8,4847";"-0,002";"32,665";"1,000"
"1704";"8,4900";"-0,002";"32,665";"1,000"
"1705";"8,4953";"-0,002";"32,750";"1,000"
"1706";"8,5006";"-0,002";"32,750";"1,000"
"1707";"8,5059";"0,000";"32,750";"1,000"
"1708";"8,5099";"0,000";"32,750";"1,000"
"1709";"8,5140";"-0,002";"32,750";"1,000"
"1710";"8,5180";"0,000";"32,755";"1,000"
"1711";"8,5220";"-0,002";"32,755";"1,000"
"1712";"8,5273";"-0,002";"32,725";"1,000"
"1713";"8,5326";"-0,002";"32,725";"1,000"
"1714";"8,5379";"0,000";"32,680";"1,000"
"1715";"8,5433";"0,000";"32,680";"1,000"
"1716";"8,5486";"-0,002";"32,680";"1,000"
"1717";"8,5539";"-0,002";"32,735";"1,000"
"1718";"8,5593";"-0,002";"32,735";"1,000"
"1719";"8,5647";"-0,002";"32,790";"1,000"
"1720";"8,5700";"-0,002";"32,790";"1,000"
"1721";"8,5740";"-0,002";"32,745";"1,000"
"1722";"8,5780";"-0,002";"32,745";"1,000"
"1723";"8,5819";"0,000";"32,645";"1,000"
"1724";"8,5859";"-0,002";"32,645";"1,000"
"1725";"8,5912";"0,000";"32,770";"1,000"
"1726";"8,5966";"0,000";"32,770";"1,000"
"1727";"8,6019";"-0,002";"32,770";"1,000"
"1728";"8,6072";"0,000";"32,740";"1,000"
"1729";"8,6125";"0,000";"32,740";"1,000"
"1730";"8,6178";"-0,002";"32,720";"1,000"
"1731";"8,6231";"-0,002";"32,720";"1,000"
"1732";"8,6285";"-0,002";"32,750";"1,000"
"1733";"8,6338";"-0,002";"32,750";"1,000"
"1734";"8,6378";"-0,002";"32,690";"1,000"
"1735";"8,6418";"-0,002";"32,690";"1,000"
"1736";"8,6459";"-0,002";"32,690";"1,000"
"1737";"8,6499";"-0,002";"32,755";"1,000"
"1738";"8,6579";"0,000";"32,755";"1,000"
"1739";"8,6659";"-0,002";"32,745";"1,000"
"1740";"8,6699";"0,000";"32,745";"1,000"
"1741";"8,6739";"0,000";"32,750";"1,000"
"1742";"8,6779";"0,000";"32,750";"1,000"
"1743";"8,6819";"0,000";"32,785";"1,000"
"1744";"8,6872";"0,000";"32,785";"1,000"
"1745";"8,6926";"0,000";"32,745";"1,000"
"1746";"8,6979";"-0,002";"32,745";"1,000"
"1747";"8,7019";"0,000";"32,745";"1,000"
"1748";"8,7059";"0,000";"32,820";"1,000"
"1749";"8,7099";"-0,002";"32,820";"1,000"
"1750";"8,7138";"-0,002";"32,735";"1,000"
"1751";"8,7218";"-0,002";"32,735";"1,000"
"1752";"8,7298";"-0,002";"32,780";"1,000"
"1753";"8,7351";"0,000";"32,780";"1,000"
"1754";"8,7405";"-0,002";"32,710";"1,000"
"1755";"8,7458";"-0,002";"32,710";"1,000"
"1756";"8,7498";"0,000";"32,710";"1,000"
"1757";"8,7538";"-0,002";"32,780";"1,000"
"1758";"8,7578";"-0,002";"32,780";"1,000"
"1759";"8,7618";"-0,002";"32,740";"1,000"
"1760";"8,7657";"-0,002";"32,740";"1,000"
"1761";"8,7697";"-0,002";"32,695";"1,000"
"1762";"8,7737";"0,000";"32,695";"1,000"
"1763";"8,7777";"0,000";"32,760";"1,000"
"1764";"8,7857";"-0,002";"32,760";"1,000"
"1765";"8,7937";"-0,002";"32,760";"1,000"
"1766";"8,7990";"-0,002";"32,780";"1,000"
"1767";"8,8044";"-0,002";"32,780";"1,000"
"1768";"8,8097";"-0,002";"32,740";"1,000"
"1769";"8,8137";"-0,002";"32,740";"1,000"
